Text,toxic
ye moulana diesal sab se bara khabees ha,1
local molana ha ye,0
paisay ka pujari sala,0
Kafi sare loopholes hei scripts mei,0
Adeel acha husband nahi hay,0
bayshaak kay wo bi intahi baykaar khatoon haen,0
Bara fazool tym hai ap k pas,0
drama acha nhi lgraha to na daikhain bakwas q kar rahi hain,1
Bus ab khatam karain drama ko,0
nonsense coversation hotee rahay gee,0
Afsos hota hay aese baapon pe,0
baap ki izzat ko dao py lga dya..,0
Kambakht ishq ka inteqaal ho jayee,0
itna over make up hadd hai bhai,0
ghatiya makeup ha bohat,1
bohat fazool makeup ha,0
bohat he fazool lag rahi ha is makeup me,0
aur waise bi aj kal ke dramas mein bohat kuch galt dikha rehe he,0
yeh bhi galat hai.kuch parts is doc. k,0
pak terrorists produce kerta hai or dosry countries main hamlay kerata hai,0
Aur baap bayperwahhh hai,0
Khub bezat Kr rha hai Faisal Qureshi,0
Bakwas hay tu ap nh dekho!!!,0
polo shirt kharede hain bohat bekar stuff ha,0
me tumhain jan se mardunga,0
acha insan nahi ha wo,0
wo tumhain choray ga nahi ab,0
nihayat he ghatiya shaks,0
service se bohat mayosi hui,0
zehrila ha ye,1
ye sudharnay ko tayyar nahe hai ..,0
wahan ja k phr thooook do tbyat sy,1
koi ehsas nai ha,0
koi apki service nai lega,0
kesay kesay bgerat log hen,1
kahin bulale isko bc dho dete hain pakar k,1
Bc ko cal ki bt nh kr rha,1
pakar ky marna chaiye,0
ube tujhy pitwata hu,0
staff bohat rude ha,0
ye bohat jhot bolta ha,0
mehangay or ghatiya quality,1
bohat buri ha old design or bohat mehangay,0
mera bohat bura experience raha,0
bohat he bura attitude ha,0
baat karne ki tameez nai,0
tum mujhay nahi pasand,0
sharam sy koi wasta nahi hy begarton ka,1
Bera garaq kar diya hai,1
Models bemaar Colours bekaar,0
bawli gand kahan ha isme??..dikhai nai de rahi,1
Jo tatti me tumhara mun de??,1
bakwas gari ha,1
shia kafir ha,1
shia mardood hain,1
yahoodi haramzadey kuttey kii maut marenge,1
trump ki bhen ki chut,1
bheek mangnay ki aadat nahi gai tumhari,1
apke staff ka attitude battamizon wala tha.,1
ghatiya products hain in k pass,1
bht hi ghatiya products hain inki,1
post delete kar randi k bachay,1
or ye randi b ha,1
staff bilkul jahil ha,1
sub gandy log hen,1
yahi chahye thana tujhe choti lulli wale,1
danish ni hgya bhend ka kuss hgya,1
Danish ki kuss me fire,1
ghati log he hn koi new ni hn,1
Jhoott.. Sb jhootay hain...,0
lanat he teri shakal per,1
Kaat liya bharway ne,1
Me sirf tere jese kutton ki gand me ungli krta hu,1
bun kabab galeez hota he,1
mujhay gooray bilkul achay nahi lagtay,0
or mujhay teri jesi larkiyan nahi pasand,0
nikal yahan se chotay,0
ajeeb koi chutiya insan ho,1
moti pool m gand dyga kya sardi m bharwe,1
Ek daaam fazoool log thay,0
isi lyen to share kri he take ek lund ka bacha dekhle,1
ek khabis insan aur yad aya mujhe,1
kia harami insan ha ye,1
iske baap ki shalwar ka naara khench kar paise lunga,1
Deepak mama ki gaand mei Bum,0
Desh ki maa chud rahi ha,1
chor Ka bacha,1
Pgal ho gy hain kia,0
awam ko bewakof bana rai ho,0
Awam ko chutiya banana chor do,1
Achi bkwas karti ho,1
Bewakoof bana rahe hai ye sb,0
Baba G ka Thullu.,1
time bohat zaya kartay ho tum,0
Farigh insan ha,0
reech k bacchay sudhar ja,0
lund bara kar k teri hi maarun ga,1
bhoot shoq haina tujhe faisal bhai se gaand marwane ka,1
Tu kutaayy ka bachaa,1
randi 3 saal ki plannig krka abhi sa kaam strt krdya,1
Tumny jo us din kia tha wo btaon?? Hain bharway??,1
katega is bhosdiwale ka dekhlena ap,1
esi gand per lath paregi na pta lagjaega,1
bht hi koi chutad admi he ye,1
yay sab bharwe dosron ki bari p haji ban jaty hyn,1
rat m loray khary kar k bethy vy hoty..sex phla rhy,1
muja mardo Mera Lund katdo,1
Kia chutyapa chal rha hai ye apne section me.,1
Aik tictok me nanga naach kr k chakka bana hua ha,1
Chutia bna rha ha ya admi,1
Aby meray Lund sae beta Jo baaat hai wo baata RHA hun,1
apni maa chudai baad me karlena,1
Meri kainchi kharab kr di madarchood,1
Link dede iski maa chod denge wahan jaka,1
Bhosdike gand he kia jo ni deta aur mene esa kb kaha k humain ni deta chutad,1
bara harami ha akela chupke se parh leta ha,1
iski shakal dekh k Hi dil krta ha iska mun ma Lund dalda banda,1
ghr se nikalkr itna marunga na do dant k khassi,1
bharway tu insan nahi hosakta,1
roo mat bc bhool jao,1
Isi ki wajha se gaandein phati hai sab ki,1
Mohsin ko maro pkar k,0
ya chutia hr jaga loray lga dta ha,1
Iski chaddi me china bum dalo bc,1
iski gand ma lora dalo,1
ibad chutya bana raha ha,1
mujh pay dal raha hai ya randi hai,1
tjha sai chapal se marta ha tera bap,0
bade harami ho beta,1
ye admin kuttay k bacha ha,1
ye admin ne harami pan kia ha..,1
bharwe mera bhe to done hai,1
bohat zada garmi charhgai he tujhe loure ki shakal wale,1
Ajeeb chutyape maar raha hai bc,1
ik banda garmi me chutia hgya,1
insaniat ni he tmm mee,0
dekh tujhe chutya bolrha he mere sath iska nam bhi hatao,1
Koi mjha loure ki shakal wala bolta na to meine foran hata dena tha uska name,1
garam loron k haqadar ho ap aj jo kaila dya hy sbko,1
Jhot bolta ha tu,0
isi waja se tum mujhay bilkul nahi pasand,0
had se ziada goray achay nahi lagtay,0
sastay nashay kaam kai kar,1
jald mar jaye ga tu sastay nasho se,1
galat baat kartay ho tum,0
nafrat ha tum se,0
nasli khanzeer kanjoos k choday,1
apne alfaaz waps lo chutiya insan,1
mera lora ruk gaya tha,1
yh kessi bavaseeri editing krre ho tm,1
gand m rakhe ho kyya tm achhe filter,1
Beghairat racist k bache,1
sahe se dhoieo jese apni gand dhota hai,1
vim lagakr dhoya he CHUTYE,1
Nadan k hath me choot dedi,1
Ye daraz walay chutya gaye hain kia?,1
ajeeb hi insaan he ye,0
kon randi ha ye,1
mein shuru hogaya na to gand se khoo0n niklay ga,1
oye usama tattay b ha,1
total bekaar hain ab kch ni ino k pas,1
drama bazi kara lo tumse,0
dramay baaz bilkul pasand nai ha,0
Fraudiyo aur jhooton par beshumar lanat,1
.dur fittay mu tera,0
tumse ziada baigarat kon hoga,1
begarti bilkul pasand nai,1
Itni lantain ly k b confidence ha.,1
tu mar ja mai gham mai hoo,1
Kiya pagal ho,0
Koi shram hoti hai bewakoof bna rhy hai sub ko,0
Begerati k had e par kr dali tum ne,1
Kuch to sharam karo begarton,1
Bc yha jung chal rhi ha or tujha chudai sooj rahi ha,1
agey chal kar pura danda de dun ga,0
Gand geeli hui pari hai bhai ki,1
Thori he der me moot dainga tu,1
pagal lagti ha tu,1
tum jesay pagal to bikul nai pasand,1
jack ma chutiya ha bhosri wala,1
hamesha loray jesi baat karta ha,1
bharwa khud to ameer ha or chutyapa karta rehta ha,1
awam or gando ha bc ameer admi ki har baat share karti ha,1
agar yehi kisi gareeb ne boli hoti to lund mera koi share karta,1
